time,wind_speed_mph,wind_power_watt
2023-09-21 16:56:00,0.4,17.734080000000006
2023-09-21 16:57:00,0.0,0.0
2023-09-21 16:58:00,0.0,0.0
2023-09-21 16:59:00,0.0,0.0
2023-09-21 17:00:05,0.3904761904761904,392.4193000000001
2023-09-21 17:15:05,0.3904761904761904,392.4193000000001
2023-09-21 17:30:06,0.3904761904761904,392.4193000000001
2023-09-21 17:40:00,0.0,0.0
2023-09-21 17:41:00,0.0,0.0
2023-09-21 17:42:00,0.0,0.0
2023-09-21 17:43:00,0.6,59.85252
2023-09-21 17:44:00,2.1,2566.1767950000003
2023-09-21 17:45:00,1.4,760.34868
2023-09-21 17:45:06,0.3904761904761904,392.4193000000001
2023-09-21 17:46:00,3.0,7481.565
2023-09-21 17:47:00,1.0,277.095
2023-09-21 17:48:00,1.2,478.82016
2023-09-21 17:49:00,0.0,0.0
2023-09-21 17:50:00,0.0,0.0
2023-09-21 17:51:00,0.0,0.0
2023-09-21 17:52:00,0.0,0.0
2023-09-21 17:53:00,0.0,0.0
2023-09-21 17:54:00,0.0,0.0
2023-09-21 17:55:00,0.0,0.0
2023-09-21 17:56:00,0.0,0.0
2023-09-21 17:57:00,0.0,0.0
2023-09-21 17:58:00,0.0,0.0
2023-09-21 17:59:00,0.0,0.0
2023-09-21 18:00:05,0.3904761904761904,392.4193000000001
2023-09-21 18:15:06,0.3904761904761904,392.4193000000001
2023-09-21 18:30:05,0.3904761904761904,392.4193000000001
2023-09-21 18:41:00,0.0,0.0
2023-09-21 18:42:00,0.0,0.0
2023-09-21 18:43:00,0.2,2.2167600000000007
2023-09-21 18:44:00,1.1,368.8134450000002
2023-09-21 18:45:00,0.5,34.636875
2023-09-21 18:45:06,0.3904761904761904,392.4193000000001
2023-09-21 18:46:00,0.4,17.734080000000006
2023-09-21 18:47:00,2.0,2216.76
2023-09-21 18:48:00,1.7,1361.367735
2023-09-21 18:49:00,0.1,0.2770950000000001
2023-09-21 18:50:00,0.0,0.0
2023-09-21 18:51:00,0.0,0.0
2023-09-21 18:52:00,0.0,0.0
2023-09-21 18:53:00,0.0,0.0
2023-09-21 18:54:00,0.0,0.0
2023-09-21 18:55:00,0.0,0.0
2023-09-21 18:56:00,1.8,1616.0180400000004
2023-09-21 18:57:00,0.0,0.0
2023-09-21 18:58:00,1.2,478.82016
2023-09-21 18:59:00,2.6,4870.2217200000005
2023-09-21 19:00:00,1.8,1616.0180400000004
2023-09-21 19:00:06,0.3904761904761904,392.4193000000001
2023-09-21 19:15:05,0.3904761904761904,392.4193000000001
2023-09-21 19:30:05,0.3904761904761904,392.4193000000001
2023-09-21 19:40:01,0.0,0.0
2023-09-21 19:41:01,0.0,0.0
2023-09-21 19:42:01,0.0,0.0
2023-09-21 19:43:01,0.0,0.0
2023-09-21 19:44:01,0.0,0.0
2023-09-21 19:45:01,0.0,0.0
2023-09-21 19:45:06,0.3904761904761904,392.4193000000001
2023-09-21 19:46:01,0.0,0.0
2023-09-21 19:47:01,0.0,0.0
2023-09-21 19:48:01,0.0,0.0
2023-09-21 19:49:01,0.0,0.0
2023-09-21 19:50:01,0.0,0.0
2023-09-21 19:51:01,0.0,0.0
2023-09-21 19:52:01,0.1,0.2770950000000001
2023-09-21 19:53:01,2.2,2950.5075600000014
2023-09-21 19:54:01,0.0,0.0
2023-09-21 19:55:01,0.0,0.0
2023-09-21 19:56:01,0.3,7.481565
2023-09-21 19:57:01,0.1,0.2770950000000001
2023-09-21 19:58:01,0.5,34.636875
2023-09-21 19:59:01,2.4,3830.56128
2023-09-21 20:00:05,0.3904761904761904,392.4193000000001
2023-09-21 20:15:06,0.3904761904761904,392.4193000000001
2023-09-21 20:30:05,0.3904761904761904,392.4193000000001
2023-09-21 20:40:01,0.3,7.481565
2023-09-21 20:41:01,0.0,0.0
2023-09-21 20:42:01,0.0,0.0
2023-09-21 20:43:01,1.2,478.82016
2023-09-21 20:44:01,0.0,0.0
2023-09-21 20:45:01,0.0,0.0
2023-09-21 20:45:05,0.3904761904761904,392.4193000000001
2023-09-21 20:46:01,0.0,0.0
2023-09-21 20:47:01,0.0,0.0
2023-09-21 20:48:01,0.0,0.0
2023-09-21 20:49:01,0.0,0.0
2023-09-21 20:50:01,0.0,0.0
2023-09-21 20:51:01,0.0,0.0
2023-09-21 20:52:01,0.0,0.0
2023-09-21 20:53:01,0.6,59.85252
2023-09-21 20:54:01,1.7,1361.367735
2023-09-21 20:55:01,0.0,0.0
2023-09-21 20:56:01,0.0,0.0
2023-09-21 20:57:01,0.0,0.0
2023-09-21 20:58:01,0.3,7.481565
2023-09-21 20:59:01,0.0,0.0
2023-09-23 21:00:16,1.1,368.8134450000002
2023-09-23 21:15:05,1.1061728395061727,1143.2392351851854
2023-09-23 21:30:06,1.1061728395061727,1143.2392351851854
2023-09-23 21:41:16,0.8,141.87264000000005
2023-09-23 21:42:16,2.4,3830.56128
2023-09-23 21:43:16,2.2,2950.5075600000014
2023-09-23 21:44:16,1.2,478.82016
2023-09-23 21:45:05,1.1061728395061727,1143.2392351851854
2023-09-23 21:45:16,1.1,368.8134450000002
2023-09-23 21:46:16,1.1,368.8134450000002
2023-09-23 21:47:16,1.7,1361.367735
2023-09-23 21:48:16,0.5,34.636875
2023-09-23 21:49:16,0.4,17.734080000000006
2023-09-23 21:50:16,0.2,2.2167600000000007
2023-09-23 21:51:16,0.8,141.87264000000005
2023-09-23 21:52:16,0.9,202.00225500000005
2023-09-23 21:53:16,1.5,935.195625
2023-09-23 21:54:16,1.0,277.095
2023-09-23 21:55:16,0.4,17.734080000000006
2023-09-23 21:56:16,3.1,8254.937145000002
2023-09-23 21:57:16,0.1,0.2770950000000001
2023-09-23 21:58:16,0.3,7.481565
2023-09-23 21:59:16,0.9,202.00225500000005
2023-09-23 22:00:06,1.1061728395061727,1143.2392351851854
2023-09-23 22:00:16,0.2,2.2167600000000007
2023-09-23 22:15:05,1.1061728395061727,1143.2392351851854
2023-09-23 22:30:06,1.1061728395061727,1143.2392351851854
2023-09-23 22:40:16,0.8,141.87264000000005
2023-09-23 22:41:16,0.2,2.2167600000000007
2023-09-23 22:42:17,1.0,277.095
